Modelo,Distancia de carrera requerida para despegue,Altitud a la que se realiza el crucero,Velocidad a la que se realiza el crucero (m/s TAS),Techo de servicio máximo,Velocidad de pérdida limpia (m/s CAS),Área del ala,Relación de aspecto del ala,Longitud del fuselaje,Profundidad del fuselaje,Ancho del fuselaje,Peso máximo al despegue (MTOW),Alcance de la aeronave (km),Autonomía de la aeronave (h),Velocidad máxima (m/s IAS),Velocidad de pérdida (m/s CAS),Tasa de ascenso,Radio de giro,Envergadura,Cuerda,Payload,duracion en VTOL,Velocidad crucero (m/s IAS),Battery Weight,Peso frame,Peso vacio - fuel y battery,Peso Vacio (MTOW - payload),Maximum Crosswind (rachas),Maximum Crosswind (sostenido),Rango de comunicación,Wing Loading,Potencia específica (P/W),Capacidad combustible,Consumo,Potencia Watts,Potencia HP,Precio,Tiempo de emergencia en vuelo,Despegue,Propulsión horizontal,Propulsión vertical,Cantidad de motores propulsión vertical,Cantidad de motores propulsión horizontal,Misión,Clase,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,aeronave,dv_Peso máximo al despegue (MTOW),viol_Peso máximo al despegue (MTOW),dv_Autonomía de la aeronave (h),viol_Autonomía de la aeronave (h),dv_Velocidad crucero (m/s IAS),viol_Velocidad crucero (m/s IAS),distancia,similitud,distancia_media,similitud_media,segmento
Vector,Nan,Nan,21.55,12500,15.17653920996816,Nan,Nan,1.5,Nan,Nan,9.5,216,3,Nan,15.17653920996816,Nan,Nan,2.8,Nan,Nan,Nan,20,Nan,Nan,Nan,Nan,Nan,Nan,60,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,3.0,3.0,1.0,3.0,,,,,Vector,0.0,False,0.5524861878453038,True,0.0,False,0.5524861878453038,0.5755171863986698,0.18416206261510126,0.8318009890592192,Vigilancia / fotogrametría y carga
Aliaca UAS EVO,Nan,Nan,19.39,Nan,Nan,1.309302447529195,15.21736414563707,2.1,Nan,0.1811749229168133,16.0,194.4,3,28,Nan,Nan,Nan,3.6,0.2389999999999999,2,Nan,18,Nan,Nan,Nan,14.5,Nan,Nan,50,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,Aliaca UAS EVO,0.0,False,0.5524861878453038,True,0.0,False,0.5524861878453038,0.5755171863986698,0.18416206261510126,0.8318009890592192,Vigilancia / fotogrametría y carga
Puma 3 AE,Nan,Nan,24.83,15000,Nan,2.021140815493226,13.6229258562515,1.4,Nan,0.2242535439605353,6.8,248.94,3,Nan,Nan,Nan,Nan,2.8,Nan,Nan,Nan,23.05,Nan,Nan,Nan,Nan,Nan,Nan,20,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,Puma 3 AE,0.0,False,0.5524861878453038,True,0.0,False,0.5524861878453038,0.5755171863986698,0.18416206261510126,0.8318009890592192,Vigilancia / fotogrametría y carga
Aerosonde Mk. 4.7 VTOL,Nan,Nan,26.93,9700,Nan,1.55,12.500000000000002,3,Nan,0.277,53.5,1080,12,33.43886,Nan,Nan,Nan,4.4,0.352,11.3,Nan,25,Nan,Nan,Nan,42.2,Nan,Nan,140,Nan,Nan,Nan,0.6,2980,4,Nan,Nan,2.0,2.0,1.0,4.0,1.0,1.0,1.0,,,,velocidad crucero =alcance / autonomia,Aerosonde Mk. 4.7 VTOL,0.5635491606714628,True,0.0,False,0.0,False,0.5635491606714628,0.5691853444811361,0.18784972022382093,0.8287392406226128,Vigilancia / fotogrametría y carga
DeltaQuad Evo,Nan,Nan,17.82,13,Nan,0.84,Nan,0.75,Nan,Nan,10.0,270,4.53,32.312906022965,Nan,Nan,Nan,2.69,Nan,3,Nan,16.54,Nan,4.8,4.8,6.8,Nan,45,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,DeltaQuad Evo,0.0,False,0.38342541436464084,True,0.18136645962732928,True,0.5647918739919702,0.5684784495965302,0.1882639579973234,0.8283960166178449,Vigilancia / fotogrametría y carga
Edge Autonomy Penguin C Mk 2.5 VTOL,Nan,Nan,16.59,Nan,Nan,1.55042133940354,15.16326984202221,Nan,Nan,0.2182593694062916,41.0,665.28,12,33.5,Nan,Nan,Nan,4.12,Nan,Nan,Nan,15.4,Nan,Nan,Nan,Nan,Nan,Nan,180,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,2.0,1.0,4.0,1.0,1.0,1.0,,,,,Edge Autonomy Penguin C Mk 2.5 VTOL,0.26378896882494,True,0.0,False,0.3229813664596273,True,0.5867703352845672,0.5561204701419487,0.1955901117615224,0.8223492368869684,Vigilancia / fotogrametría y carga
YANGDA Sky Whale Heavy Lift Long Endurance Electric VTOL Drone,Nan,Nan,26.93,15000,16,Nan,Nan,Nan,Nan,Nan,34.0,315,3.5,33.5,16,4,Nan,Nan,Nan,10,Nan,25,Nan,7.45,16,24,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,4.0,1.0,1.0,3.0,,,,,YANGDA Sky Whale Heavy Lift Long Endurance Electric VTOL Drone,0.09592326139088729,True,0.49723756906077343,True,0.0,False,0.5931608304516607,0.552577916357623,0.19772027681722024,0.8205993617021439,Vigilancia / fotogrametría y carga
ScanEagle,Nan,Nan,30.16,19500,Nan,1.17407938181144,13.19730958047606,1.71,Nan,0.2607566509332762,26.5,1814.4,18,41.2,Nan,Nan,Nan,3.1,0.3207185024065228,5,Nan,28,Nan,Nan,Nan,21.5,Nan,Nan,101.86,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,2.0,5.0,0.0,1.0,1.0,1.0,,,,,ScanEagle,0.0,False,0.22099447513812154,True,0.37267080745341613,True,0.5936652825915376,0.5522992375412399,0.19788842753051253,0.8204613889345812,Vigilancia / fotogrametría y carga
V35,Nan,Nan,26.93,16000,Nan,1.367453499881811,Nan,1.88,Nan,Nan,32.0,252,2.8,33,Nan,Nan,Nan,3.5,Nan,10,Nan,25,Nan,Nan,Nan,22,Nan,Nan,30,Nan,Nan,Nan,Nan,Nan,Nan,7999,Nan,2.0,2.0,1.0,4.0,1.0,1.0,3.0,,,,,V35,0.047961630695443645,True,0.574585635359116,True,0.0,False,0.6225472660545597,0.5365758937521777,0.2075157553515199,0.8126004388666812,Vigilancia / fotogrametría y carga
L3Harris FVR–90,Nan,Nan,27.69,Nan,Nan,Nan,Nan,Nan,Nan,Nan,54.4,1500,16,33.4,Nan,Nan,Nan,4.7,Nan,10,Nan,25.7,Nan,Nan,31.75,44.4,Nan,Nan,100,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,2.0,4.0,1.0,1.0,1.0,,,,,L3Harris FVR–90,0.5851318944844124,True,0.0,False,0.08695652173913034,True,0.6720884162235428,0.5106410324185067,0.22402947207451426,0.7992915772413051,Vigilancia / fotogrametría y carga
